"yellow",*
5.368305,-74.791145
5.367963,-74.796553
5.368732,-74.796038
5.369843,-74.795780
5.370869,-74.796038
5.371638,-74.795866
5.371638,-74.795437
5.371552,-74.794664
5.371638,-74.794235
5.371211,-74.792089
5.371552,-74.791403
5.371980,-74.791231
5.373005,-74.791660
5.373347,-74.794064
5.373945,-74.794235
5.374372,-74.793806
5.375056,-74.794836
5.375569,-74.794321
5.375654,-74.793892
5.375740,-74.793034
5.375227,-74.790802
5.375910,-74.789257
5.375996,-74.788141
5.376423,-74.787970
5.376936,-74.788656
5.379329,-74.788656
5.380269,-74.788141
5.380525,-74.787455
5.380269,-74.787025
5.375996,-74.784536
5.375740,-74.784021
5.375825,-74.783506
5.376936,-74.782906
5.378132,-74.782648
5.379243,-74.782305
5.379841,-74.781275
5.380354,-74.780159
5.381209,-74.779816
5.382063,-74.780931
5.382832,-74.781618
5.384883,-74.781275
5.384968,-74.780846
5.385139,-74.778957
5.385225,-74.778442
5.384968,-74.777327
5.385738,-74.776382
5.387617,-74.775009
5.388472,-74.773207
5.390779,-74.771490
5.393001,-74.771748
5.394368,-74.771404
5.394283,-74.770288
5.393172,-74.769087
5.393257,-74.768400
5.392915,-74.763594
5.393770,-74.761276
5.394026,-74.760246
5.393855,-74.759474
5.390950,-74.759731
5.390181,-74.759731
5.387874,-74.757156
5.387703,-74.756641
5.388387,-74.755697
5.388557,-74.754496
5.388130,-74.754152
5.385524,-74.753895
5.384968,-74.753637
5.384456,-74.752564
5.384669,-74.752049
5.384840,-74.751449
5.385054,-74.750934
5.385609,-74.750633
5.386122,-74.750590
5.386763,-74.750762
5.387233,-74.751019
5.387532,-74.751534
5.387746,-74.752092
5.387831,-74.752693
5.387831,-74.753337
5.388387,-74.753594
5.388686,-74.753466
5.389070,-74.753423
5.389497,-74.753122
5.390053,-74.753036
5.390736,-74.753036
5.391249,-74.752951
5.391847,-74.752650
5.392275,-74.752264
5.392702,-74.751835
5.393001,-74.751320
5.393343,-74.750848
5.393727,-74.750376
5.394112,-74.749904
5.394368,-74.749732
5.394624,-74.749818
5.395180,-74.750032
5.395693,-74.750247
5.396120,-74.750247
5.396248,-74.750118
5.396248,-74.749475
5.396376,-74.748874
5.396803,-74.748445
5.397359,-74.748359
5.397914,-74.748316
5.398512,-74.748316
5.399196,-74.748187
5.399623,-74.747758
5.399922,-74.747329
5.400307,-74.746857
5.400563,-74.746342
5.400862,-74.745913
5.401204,-74.745355
5.401460,-74.744883
5.401674,-74.744282
5.402059,-74.743724
5.402614,-74.743638
5.403255,-74.743724
5.403597,-74.743767
5.404067,-74.744110
5.404665,-74.744411
5.405263,-74.744840
5.405818,-74.745140
5.406417,-74.744968
5.406886,-74.744925
5.407570,-74.744968
5.408125,-74.745011
5.408724,-74.744968
5.409279,-74.744925
5.410048,-74.744840
5.410561,-74.744883
5.411031,-74.744453
5.411159,-74.743938
5.411073,-74.743209
5.411073,-74.742651
5.411073,-74.742050
5.411287,-74.741492
5.411586,-74.741020
5.412056,-74.740720
5.412740,-74.740548
5.413210,-74.740548
5.413808,-74.740462
5.414320,-74.740162
5.414406,-74.739561
5.414363,-74.739003
5.414491,-74.738359
5.414449,-74.737759
5.414406,-74.737244
5.414278,-74.736943
5.414150,-74.736643
5.413594,-74.736514
5.413295,-74.736514
5.413167,-74.736557
5.412996,-74.736600
5.412740,-74.736729
5.412697,-74.736814
5.412569,-74.736986
5.412526,-74.737244
5.412483,-74.737372
5.412398,-74.737544
5.412312,-74.737802
5.412184,-74.737973
5.412056,-74.738102
5.411842,-74.738145
5.411714,-74.737802
5.411586,-74.737158
5.411586,-74.736729
5.411629,-74.736342
5.411586,-74.736085
5.411543,-74.735441
5.411629,-74.734883
5.411586,-74.734540
5.411757,-74.734025
5.412184,-74.733167
5.412569,-74.732738
5.412868,-74.732223
5.413381,-74.731793
5.413808,-74.731493
5.414449,-74.731278
5.415004,-74.731236
5.415602,-74.731450
5.415859,-74.731536
5.415944,-74.731793
5.416158,-74.732094
5.416286,-74.732394
5.416328,-74.732780
5.416542,-74.733338
5.416713,-74.733853
5.416841,-74.734154
5.416798,-74.734540
5.416756,-74.735055
5.416756,-74.735699
5.416670,-74.736257
5.416628,-74.736857
5.416628,-74.737415
5.416670,-74.737930
5.416756,-74.738016
5.416969,-74.738617
5.417268,-74.739132
5.417653,-74.739690
5.417909,-74.740033
5.418166,-74.740205
5.418721,-74.740591
5.418892,-74.740720
5.419106,-74.740849
5.419575,-74.740849
5.423207,-74.740891
5.423805,-74.740977
5.424275,-74.741278
5.424660,-74.741492
5.425087,-74.742608
5.425172,-74.742780
5.425130,-74.743853
5.425172,-74.744625
5.425172,-74.745183
5.425130,-74.745741
5.425386,-74.746299
5.425599,-74.746943
5.425813,-74.747415
5.425899,-74.747758
5.426838,-74.748101
5.427137,-74.748230
5.427565,-74.748144
5.427907,-74.748144
5.428120,-74.747972
5.428462,-74.747801
5.428761,-74.747715
5.429060,-74.747200
5.429231,-74.746857
5.429445,-74.746642
5.429615,-74.746728
5.429872,-74.746857
5.430043,-74.746857
5.430256,-74.746857
5.430470,-74.746814
5.430726,-74.746814
5.430940,-74.746900
5.431453,-74.746900
5.431623,-74.746943
5.432222,-74.746943
5.432392,-74.746900
5.432606,-74.746985
5.432862,-74.747028
5.432991,-74.747028
5.433161,-74.746985
5.433332,-74.746985
5.433460,-74.746943
5.433760,-74.746985
5.434016,-74.746985
5.434272,-74.746985
5.434379,-74.746996
5.434454,-74.746943
5.434529,-74.746889
5.434635,-74.746835
5.434731,-74.746825
5.434806,-74.746814
5.434934,-74.746878
5.434892,-74.746771
5.434998,-74.746664
5.435127,-74.746599
5.435180,-74.746535
5.435191,-74.746470
5.435233,-74.746395
5.435319,-74.746363
5.435426,-74.746342
5.435938,-74.746470
5.436707,-74.746814
5.437818,-74.746857
5.438502,-74.746771
5.439014,-74.746599
5.439655,-74.746642
5.440253,-74.746428
5.440766,-74.746428
5.440937,-74.746556
5.441450,-74.746857
5.441919,-74.747286
5.442389,-74.747586
5.442688,-74.747672
5.443073,-74.747114
5.443201,-74.746556
5.443201,-74.746256
5.443244,-74.745955
5.443287,-74.745483
5.443457,-74.745226
5.443842,-74.745183
5.444098,-74.745097
5.444355,-74.745140
5.444483,-74.745183
5.444825,-74.745269
5.445038,-74.745269
5.445337,-74.745526
5.445594,-74.745698
5.445679,-74.745741
5.445893,-74.745784
5.446063,-74.745784
5.446234,-74.745784
5.446448,-74.745784
5.446704,-74.745784
5.446832,-74.745698
5.447217,-74.745655
5.447388,-74.745655
5.447687,-74.745612
5.447901,-74.745483
5.448114,-74.745398
5.448242,-74.745097
5.448285,-74.744797
5.448499,-74.744582
5.448627,-74.744411
5.448755,-74.744153
5.448669,-74.743896
5.448584,-74.743724
5.448627,-74.743552
5.448755,-74.743252
5.449310,-74.743252
5.449951,-74.743252
5.450421,-74.743423
5.450720,-74.743638
5.450934,-74.744110
5.451147,-74.744325
5.451404,-74.744582
5.451660,-74.744754
5.451916,-74.744797
5.452173,-74.744582
5.452344,-74.744196
5.452557,-74.743810
5.452643,-74.743423
5.452643,-74.742823
5.452643,-74.742393
5.452557,-74.741964
5.452557,-74.741364
5.452771,-74.740977
5.453198,-74.740849
5.453540,-74.740849
5.453796,-74.740934
5.453924,-74.741149
5.454181,-74.741449
5.454565,-74.741621
5.454693,-74.741621
5.454864,-74.741449
5.455163,-74.741449
5.455590,-74.741621
5.455932,-74.741750
5.456317,-74.741836
5.456573,-74.741879
5.456872,-74.741664
5.457086,-74.741321
5.457726,-74.741364
5.458196,-74.741406
5.458666,-74.741449
5.459051,-74.741364
5.459692,-74.741321
5.460247,-74.741235
5.460631,-74.741192
5.460119,-74.741578
5.459862,-74.741750
5.459734,-74.742179
5.459435,-74.742780
5.459435,-74.742866
5.459435,-74.743724
5.459777,-74.744196
5.460204,-74.744496
5.460375,-74.744668
5.460546,-74.744840
5.460717,-74.745054
5.460888,-74.745355
5.460930,-74.745655
5.461486,-74.745955
5.461956,-74.746385
5.462169,-74.746556
5.462511,-74.746900
5.462938,-74.747286
5.463323,-74.747543
5.463494,-74.747801
5.463622,-74.747930
5.463707,-74.748058
5.463921,-74.748058
5.464134,-74.748187
5.464391,-74.748316
5.464733,-74.748530
5.465117,-74.748831
5.465459,-74.749131
5.465801,-74.749389
5.466057,-74.749732
5.466313,-74.750161
5.466740,-74.750676
5.466869,-74.750891
5.466997,-74.751234
5.466997,-74.751706
5.467210,-74.751921
5.467381,-74.752350
5.467638,-74.752779
5.467937,-74.753165
5.468236,-74.753466
5.468577,-74.753723
5.468919,-74.753981
5.469261,-74.754281
5.469560,-74.754496
5.469859,-74.754753
5.470073,-74.755011
5.470243,-74.755354
5.470286,-74.755611
5.470286,-74.755869
5.470286,-74.756083
5.470286,-74.756470
5.470030,-74.757071
5.470201,-74.758315
5.470970,-74.759130
5.471824,-74.759345
5.472550,-74.759216
5.473106,-74.758959
5.473362,-74.758573
5.473960,-74.757457
5.474302,-74.756899
5.474601,-74.756427
5.475071,-74.756083
5.475498,-74.755611
5.476096,-74.754539
5.476737,-74.753594
5.476950,-74.753079
5.477805,-74.752264
5.478147,-74.751749
5.478488,-74.751277
5.478830,-74.750762
5.479129,-74.750247
5.479514,-74.749947
5.479727,-74.749775
5.480069,-74.749689
5.480411,-74.749689
5.480710,-74.749689
5.480966,-74.749517
5.481222,-74.749389
5.481350,-74.749217
5.481265,-74.748960
5.481051,-74.748616
5.481137,-74.748359
5.481137,-74.747972
5.481308,-74.747586
5.481778,-74.746943
5.482205,-74.746213
5.482461,-74.745870
5.482718,-74.745312
5.482760,-74.745011
5.483059,-74.744797
5.483316,-74.744625
5.483572,-74.744496
5.483615,-74.744196
5.483657,-74.744024
5.483444,-74.743681
5.483230,-74.743552
5.483230,-74.743381
5.483316,-74.743252
5.483700,-74.743166
5.483999,-74.743080
5.484213,-74.742866
5.484384,-74.742565
5.484426,-74.742351
5.484554,-74.742007
5.484554,-74.741836
5.484768,-74.741750
5.484939,-74.741621
5.485152,-74.741535
5.485409,-74.741578
5.485494,-74.741664
5.485793,-74.741707
5.485964,-74.741578
5.486135,-74.741406
5.486263,-74.741063
5.486306,-74.740849
5.486220,-74.740591
5.486648,-74.740376
5.486989,-74.740248
5.487417,-74.740076
5.487459,-74.739604
5.487502,-74.739475
5.487844,-74.739089
5.487929,-74.738960
5.487844,-74.738746
5.487801,-74.738617
5.487673,-74.738445
5.487459,-74.738359
5.487374,-74.738317
5.487331,-74.738145
5.487459,-74.737930
5.487545,-74.737844
5.487545,-74.737630
5.487545,-74.737415
5.487545,-74.737329
5.487801,-74.737201
5.487972,-74.737072
5.488143,-74.736900
5.488356,-74.736900
5.488570,-74.736943
5.488741,-74.737029
5.488912,-74.737115
5.489040,-74.737115
5.489339,-74.737029
5.489510,-74.737115
5.489681,-74.737201
5.489937,-74.737115
5.490193,-74.737072
5.490535,-74.737158
5.490791,-74.737115
5.491048,-74.737029
5.491219,-74.736814
5.491347,-74.736686
5.491646,-74.736471
5.491731,-74.736257
5.491817,-74.735956
5.491817,-74.735827
5.491646,-74.735656
5.491518,-74.735441
5.491475,-74.735355
5.491261,-74.735227
5.491133,-74.735098
5.490877,-74.735098
5.490749,-74.734926
5.490791,-74.734712
5.490663,-74.734497
5.490620,-74.734240
5.490749,-74.734025
5.490877,-74.733810
5.491688,-74.733295
5.491603,-74.732695
5.491688,-74.732265
5.491774,-74.732094
5.492158,-74.731793
5.492244,-74.731579
5.492286,-74.731064
5.492457,-74.730721
5.492756,-74.730549
5.493013,-74.730248
5.493141,-74.730163
5.493312,-74.729948
5.493397,-74.729819
5.493910,-74.729605
5.494337,-74.729605
5.494422,-74.729176
5.494508,-74.728746
5.494679,-74.728231
5.494935,-74.728060
5.495020,-74.727716
5.494679,-74.727459
5.494764,-74.727030
5.494850,-74.726686
5.495191,-74.726257
5.495789,-74.726086
5.496131,-74.726515
5.496644,-74.726858
5.497071,-74.726858
5.497156,-74.726601
5.497156,-74.726515
5.496985,-74.726343
5.496900,-74.725914
5.497156,-74.725657
5.497413,-74.725485
5.497840,-74.725485
5.498182,-74.725657
5.498438,-74.725914
5.498951,-74.726257
5.499292,-74.726429
5.499549,-74.726601
5.499805,-74.726429
5.499805,-74.726086
5.499976,-74.725742
5.500317,-74.725571
5.500659,-74.726000
5.500916,-74.725742
5.501172,-74.725571
5.501514,-74.725399
5.501599,-74.725056
5.502112,-74.725056
5.502795,-74.724541
5.503051,-74.724369
5.503393,-74.724541
5.503735,-74.724541
5.503906,-74.724455
5.504418,-74.724369
5.504504,-74.724369
5.504675,-74.724798
5.504760,-74.724970
5.504931,-74.725227
5.505016,-74.725399
5.505187,-74.725657
5.505358,-74.725828
5.505700,-74.725828
5.506042,-74.725828
5.506213,-74.725742
5.506469,-74.725657
5.506725,-74.725571
5.507152,-74.725742
5.507238,-74.725914
5.507750,-74.725742
5.508263,-74.725485
5.508861,-74.725227
5.509117,-74.724712
5.509288,-74.724283
5.509374,-74.723511
5.509544,-74.723253
5.509630,-74.722996
5.509801,-74.722996
5.509886,-74.723511
5.510057,-74.723682
5.510313,-74.723682
5.510741,-74.723682
5.510911,-74.723425
5.511168,-74.723082
5.511509,-74.722824
5.510997,-74.721966
5.510911,-74.721537
5.510399,-74.721022
5.509544,-74.720249
5.506469,-74.717503
5.506811,-74.717159
5.507323,-74.717073
5.507409,-74.716816
5.507409,-74.716215
5.507409,-74.715786
5.507750,-74.715700
5.508092,-74.716129
5.508348,-74.716473
5.508605,-74.716644
5.508946,-74.716644
5.509288,-74.716301
5.509544,-74.716043
5.509886,-74.716043
5.510057,-74.716473
5.510142,-74.716644
5.510484,-74.716387
5.510655,-74.715958
5.510741,-74.715700
5.510826,-74.715185
5.511339,-74.715099
5.511595,-74.715099
5.511937,-74.715185
5.512278,-74.714756
5.512620,-74.714670
5.512876,-74.714499
5.513645,-74.714327
5.514243,-74.714413
5.513987,-74.713898
5.513902,-74.713469
5.513902,-74.713211
5.513816,-74.712782
5.514158,-74.712524
5.514500,-74.712353
5.514841,-74.712009
5.514841,-74.711838
5.514841,-74.711494
5.515012,-74.711580
5.515183,-74.711237
5.515354,-74.710808
5.515183,-74.710636
5.515610,-74.710636
5.516123,-74.710636
5.516550,-74.710379
5.516977,-74.710035
5.517233,-74.709949
5.517575,-74.709435
5.517831,-74.708834
5.518344,-74.708662
5.520993,-74.708061
5.522018,-74.711151
5.522359,-74.712181
5.524068,-74.712524
5.526118,-74.712524
5.527827,-74.712524
5.529877,-74.712181
5.529877,-74.711838
5.532269,-74.711838
5.535003,-74.711838
5.536370,-74.712524
5.538420,-74.714584
5.539446,-74.715958
5.541154,-74.718018
5.541838,-74.718018
5.543205,-74.717331
5.544913,-74.716644
5.546963,-74.716644
5.547647,-74.715271
5.549014,-74.713898
5.550381,-74.715614
5.552773,-74.714928
5.554823,-74.714241
5.557557,-74.714241
5.559948,-74.714584
5.562682,-74.714584
5.564732,-74.714584
5.566441,-74.713898
5.566099,-74.712524
5.566099,-74.710121
5.565757,-74.707718
5.565757,-74.706345
5.564391,-74.704628
5.563707,-74.702911
5.563024,-74.702568
5.564732,-74.701195
5.564732,-74.699478
5.565074,-74.699135
5.566783,-74.700508
5.572250,-74.706001
5.578742,-74.712868
5.581134,-74.718018
5.581134,-74.722481
5.578400,-74.731407
5.576692,-74.741020
5.575667,-74.745483
5.576350,-74.750633
5.577717,-74.755096
5.577034,-74.759903
5.575667,-74.764023
5.573958,-74.768486
5.572933,-74.773979
5.573958,-74.778099
5.576008,-74.782219
5.579425,-74.785995
5.582159,-74.789772
5.583184,-74.794235
5.582842,-74.799385
5.583526,-74.804192
5.585234,-74.808655
5.586943,-74.813461
5.589335,-74.814835
5.590701,-74.814148
5.592410,-74.814835
5.595827,-74.814491
5.597535,-74.814148
5.602319,-74.813118
5.604369,-74.813461
5.605394,-74.811058
5.605394,-74.809685
5.608469,-74.807281
5.608469,-74.806252
5.608469,-74.803848
5.609836,-74.801788
5.610861,-74.799385
5.611886,-74.797668
5.611886,-74.796295
5.613252,-74.794579
5.613936,-74.793205
5.616327,-74.791145
5.618378,-74.790459
5.619061,-74.789429
5.620769,-74.788055
5.621794,-74.787369
5.623503,-74.787025
5.624528,-74.785995
5.627261,-74.785309
5.628628,-74.785309
5.630336,-74.785309
5.632728,-74.784279
5.635119,-74.785652
5.637169,-74.787025
5.638023,-74.787197
5.638365,-74.786682
5.638536,-74.785824
5.638878,-74.784966
5.639390,-74.784279
5.639903,-74.784107
5.640586,-74.784279
5.641782,-74.784794
5.642807,-74.784794
5.642978,-74.784966
5.643832,-74.784966
5.644515,-74.784622
5.645198,-74.784279
5.645711,-74.783249
5.646052,-74.782734
5.646565,-74.782219
5.647419,-74.781017
5.648273,-74.780502
5.649298,-74.780502
5.649640,-74.780331
5.650836,-74.780159
5.651348,-74.778786
5.651348,-74.777927
5.650836,-74.777412
5.650494,-74.776726
5.649981,-74.775867
5.650494,-74.773464
5.651177,-74.772778
5.652373,-74.771748
5.653056,-74.770889
5.654081,-74.770374
5.654594,-74.770031
5.655960,-74.769688
5.656131,-74.769173
5.656985,-74.769001
5.657839,-74.768486
5.658523,-74.768314
5.659206,-74.768314
5.660744,-74.768143
5.661598,-74.767971
5.662452,-74.767113
5.662793,-74.766941
5.662623,-74.765911
5.662110,-74.764881
5.661768,-74.763680
5.662281,-74.762650
5.662793,-74.760761
5.665868,-74.754066
5.665868,-74.752865
5.666551,-74.751663
5.666551,-74.751148
5.668431,-74.749260
5.669455,-74.748230
5.670480,-74.748058
5.671335,-74.747887
5.672530,-74.747887
5.673384,-74.748058
5.674409,-74.748745
5.676117,-74.749432
5.676972,-74.749775
5.677826,-74.749775
5.679021,-74.749603
5.679705,-74.749088
5.680046,-74.747887
5.679876,-74.746857
5.680217,-74.745998
5.680559,-74.744797
5.680559,-74.743938
5.680730,-74.742565
5.680217,-74.741192
5.679876,-74.740505
5.679534,-74.739819
5.679363,-74.739132
5.679363,-74.738789
5.681071,-74.738617
5.682779,-74.738960
5.683633,-74.738960
5.684658,-74.739990
5.685512,-74.742222
5.686367,-74.744453
5.686367,-74.746685
5.686879,-74.749260
5.686708,-74.750977
5.687050,-74.751663
5.688246,-74.751663
5.689612,-74.751663
5.690808,-74.751835
5.691833,-74.751663
5.692003,-74.751320
5.692687,-74.751148
5.693199,-74.750462
5.693541,-74.749947
5.693541,-74.747200
5.693541,-74.744797
5.693712,-74.742565
5.693712,-74.741707
5.694224,-74.740334
5.694566,-74.739647
5.696103,-74.739304
5.697470,-74.739304
5.698324,-74.738789
5.700032,-74.738789
5.702252,-74.738274
5.703277,-74.738445
5.704302,-74.738102
5.705669,-74.737587
5.706693,-74.737244
5.707547,-74.736214
5.707889,-74.735699
5.708231,-74.734497
5.708743,-74.733982
5.710280,-74.733124
5.710793,-74.732437
5.711818,-74.731064
5.713184,-74.730549
5.713697,-74.730892
5.715063,-74.731407
5.715746,-74.731922
5.716600,-74.731750
5.721383,-74.727287
5.722237,-74.726257
5.723945,-74.725571
5.724287,-74.725056
5.726507,-74.724712
5.727361,-74.724884
5.729411,-74.724884
5.730948,-74.725056
5.732998,-74.725742
5.735389,-74.726086
5.736755,-74.726772
5.737951,-74.727116
5.738463,-74.727631
5.740513,-74.728146
5.741879,-74.728317
5.743246,-74.728661
5.744783,-74.728832
5.747003,-74.727631
5.747686,-74.726429
5.748540,-74.725914
5.749224,-74.724541
5.750078,-74.722652
5.750248,-74.721107
5.750248,-74.719048
5.750419,-74.717674
5.750932,-74.716644
5.753664,-74.715786
5.755202,-74.714756
5.756397,-74.713726
5.757934,-74.712353
5.759130,-74.711838
5.760325,-74.712181
5.761692,-74.712181
5.763058,-74.712353
5.763912,-74.712868
5.764766,-74.713898
5.766474,-74.714584
5.767499,-74.714928
5.768694,-74.715099
5.772964,-74.713554
5.774160,-74.712868
5.775526,-74.710808
5.775868,-74.708920
5.775868,-74.707890
5.775569,-74.707718
5.774843,-74.707203
5.771897,-74.706903
5.770658,-74.706173
5.770018,-74.705186
5.769676,-74.702654
5.769719,-74.700937
5.770061,-74.700165
5.770488,-74.698620
5.770786,-74.697676
5.770957,-74.696903
5.771085,-74.696388
5.771427,-74.695573
5.771769,-74.694757
5.772153,-74.694114
5.772494,-74.693513
5.772879,-74.692869
5.773306,-74.692225
5.773775,-74.691625
5.774416,-74.690638
5.774715,-74.690208
5.775056,-74.689736
5.775782,-74.688792
5.776593,-74.687805
5.777234,-74.686861
5.778173,-74.685616
5.778728,-74.684758
5.779070,-74.683900
5.779198,-74.683084
5.779113,-74.682484
5.779070,-74.681582
5.778814,-74.680510
5.778643,-74.679952
5.778515,-74.679523
5.778259,-74.679222
5.777832,-74.678707
5.777575,-74.678278
5.777106,-74.677849
5.776636,-74.677291
5.775964,-74.676717
5.774661,-74.675537
5.773946,-74.674898
5.773914,-74.674872)