"#8A2908",*
"#8A2908",*
"Marulanda",34
5.24960088729864,-75.250503540039
5.24039983749395,-75.2481002807617
5.23460197448736,-75.2538986206055
5.22660017013561,-75.2758026123047
5.22080087661749,-75.2591018676757
5.20629882812511,-75.2481002807617
5.17860078811651,-75.2445983886718
5.17389917373657,-75.2331008911133
5.17550086975098,-75.2128982543945
5.16970109939575,-75.2078018188477
5.15469980239862,-75.1961975097656
5.15360116958618,-75.2077026367188
5.143798828125,-75.2174987792968
5.13689994812012,-75.2291030883789
5.13059997558605,-75.2423019409179
5.12780094146729,-75.2537994384766
5.12610101699835,-75.2641983032227
5.12440109252941,-75.2745971679688
5.12389898300177,-75.2912979125976
5.12510108947765,-75.3000030517578
5.12860107421881,-75.3108978271484
5.12690114974987,-75.3253021240234
5.11660194396973,-75.3350982666015
5.10500097274786,-75.3414993286132
5.0981001853944,-75.3466033935547
5.08829879760748,-75.3563995361328
5.08599996566778,-75.3592987060546
5.08370018005371,-75.3610000610352
5.08490085601807,-75.3650970458984
5.09649991989136,-75.3656997680663
5.10110092163097,-75.3650970458984
5.09700107574469,-75.3541030883789
5.11429977416987,-75.3529968261719
5.12760114669811,-75.3559036254883
5.13980102539062,-75.3628005981445
5.16000080108648,-75.3656997680663
5.17959880828863,-75.3656997680663
5.19819879531866,-75.3795013427734
5.2056999206543,-75.3876037597656
5.21390008926403,-75.402000427246
5.2202000617981,-75.3996963500977
5.22370004653942,-75.401496887207
5.23060178756714,-75.401496887207
5.2433009147644,-75.3917007446289
5.26290178298945,-75.3899993896484
5.277901172638,-75.3831024169922
5.2900009155274,-75.3796005249023
5.31080007553095,-75.3785018920897
5.32229995727545,-75.3657989501953
5.32400083541864,-75.3543014526367
5.32970094680798,-75.3380966186523
5.33370113372814,-75.3294982910156
5.32960081100464,-75.3184967041015
5.32669878005987,-75.3173980712891
5.32669878005987,-75.3063964843749
5.32029914855957,-75.3001022338867
5.31910085678106,-75.2891006469727
5.31789922714245,-75.2741012573242
5.30630111694342,-75.2655029296875
5.30050086975103,-75.2580032348633
5.29010105133051,-75.2550964355468
5.28429985046381,-75.2608032226561
5.26469993591309,-75.2626037597656
5.2578010559082,-75.2591018676757
5.24960088729864,-75.250503540039