"#610B5E",*
"#610B5E",*
"Pacora",*
5.5150990486145,-75.6143035888672
5.51570081710821,-75.6063003540038
5.52489995956415,-75.6016998291016
5.53469991683971,-75.588996887207
5.54499912261969,-75.5653991699218
5.5513010025025,-75.5585021972656
5.55820178985596,-75.5468978881834
5.56910085678101,-75.5279006958008
5.57249879837042,-75.5147018432617
5.56780004501354,-75.5008010864258
5.58160018920893,-75.4852981567382
5.57979917526245,-75.4794998168945
5.56129980087292,-75.4783020019531
5.5444998741151,-75.4667968749999
5.51560115814215,-75.4546966552733
5.50810003280651,-75.4449005126953
5.494700908661,-75.427001953125
5.48369979858404,-75.4096984863281
5.47499990463268,-75.4067993164061
5.46170091629028,-75.4085006713867
5.4438009262085,-75.4107971191406
5.43230104446417,-75.4113998413084
5.42469978332525,-75.4096984863281
5.42130184173583,-75.4195022583007
5.4162011146546,-75.4349975585938
5.41800117492681,-75.4494018554688
5.42729997634899,-75.4604034423828
5.42789983749395,-75.4758987426758
5.42740011215209,-75.4915008544921
5.42630004882812,-75.5058975219726
5.42580080032354,-75.52490234375
5.43160104751598,-75.5329971313475
5.43740081787115,-75.5450973510742
5.43570089340221,-75.5538024902344
5.43289995193481,-75.5567016601561
5.42719984054571,-75.5745010375977
5.42660093307506,-75.5866012573242
5.43019914627075,-75.6033020019531
5.43139982223505,-75.6148986816406
5.43720102310181,-75.6218032836914
5.44759988784796,-75.6188964843749
5.4568009376527,-75.6159973144531
5.46140098571783,-75.6166000366209
5.47069978713984,-75.6166000366209
5.47879981994629,-75.6166000366209
5.48970079421997,-75.6177978515625
5.5006999969483,-75.6201019287109
5.5150990486145,-75.6143035888672