"#6E6E6E",*
"#6E6E6E",*
"Rio Sucio",*
5.52719879150391,-75.7441024780273
5.52380084991466,-75.7441024780273
5.52029991149902,-75.7406005859374
5.51800107955933,-75.738296508789
5.51219987869257,-75.7353973388672
5.5064001083374,-75.7285003662108
5.50460195541382,-75.7169036865234
5.50400018692028,-75.712303161621
5.49239921569819,-75.7111968994141
5.47629880905157,-75.714599609375
5.457200050354,-75.715202331543
5.4369997978211,-75.7110977172852
5.42889976501465,-75.7110977172852
5.42250013351452,-75.7128982543945
5.40810108184814,-75.7134017944334
5.39879989624029,-75.6932983398436
5.38600015640264,-75.6839981079102
5.38079881668091,-75.6828994750976
5.37160015106201,-75.6782989501953
5.36520099639893,-75.6643981933593
5.36159992218023,-75.6535034179686
5.36219882965082,-75.6436996459959
5.35640096664429,-75.6493988037109
5.34779882431036,-75.6535034179686
5.34089994430548,-75.6551971435547
5.33050107955927,-75.6626968383788
5.32530021667475,-75.6718978881835
5.32250118255615,-75.6781997680664
5.32589912414556,-75.6781997680664
5.32940006256104,-75.6834030151367
5.32950019836431,-75.6925964355469
5.33070087432867,-75.7018966674805
5.33190011978144,-75.714500427246
5.33820009231567,-75.714500427246
5.35790109634399,-75.7226028442383
5.36189985275269,-75.7226028442383
5.38100004196178,-75.7335968017578
5.38110017776489,-75.7359008789061
5.38049983978271,-75.7515029907227
5.38060092926031,-75.7623977661133
5.37949991226202,-75.7733993530273
5.37949991226202,-75.7836990356445
5.3784008026123,-75.7964019775389
5.37849903106684,-75.8107986450194
5.37039899826061,-75.8218002319335
5.36990022659307,-75.8264007568359
5.36990022659307,-75.8321990966797
5.36649990081798,-75.8349990844726
5.36359786987299,-75.840202331543
5.36189985275269,-75.8470993041992
5.36019992828375,-75.8552017211914
5.3568000793457,-75.8662033081054
5.3568000793457,-75.8731002807617
5.35279989242554,-75.879997253418
5.35279989242554,-75.8874969482422
5.35279989242554,-75.8949966430663
5.36210107803356,-75.9030990600584
5.37020111083984,-75.9036026000977
5.38119983673096,-75.9008026123046
5.3904008865357,-75.8984985351561
5.39909982681274,-75.8973007202147
5.41230106353771,-75.8933029174805
5.42959976196283,-75.8887023925781
5.44409990310663,-75.8870010375975
5.46140098571783,-75.8876037597656
5.47178220748913,-75.8867721557617
5.47513723373419,-75.8865051269531
5.48330116271984,-75.8852996826172
5.48910093307501,-75.8824005126953
5.49770021438604,-75.8685989379883
5.49830007553095,-75.8599014282226
5.50520086288464,-75.8517990112304
5.51430177688604,-75.8408966064453
5.5149011611939,-75.834602355957
5.51430177688604,-75.8229980468749
5.51419878005987,-75.8103027343749
5.51879787445068,-75.7970962524414
5.52220106124884,-75.7866973876953
5.52500009536749,-75.7723007202148
5.52380084991466,-75.7641983032227
5.52319908142096,-75.7578964233398
5.52440118789684,-75.7544021606445
5.52610111236572,-75.7498016357422
5.52719879150391,-75.7441024780273