"#04B431",*
"#04B431",*
"Risaralda",48
5.1343989372254,-75.8809967041016
5.13560009002697,-75.8747024536133
5.13090085983282,-75.8631973266602
5.13599920272821,-75.8476028442382
5.14580011367809,-75.8413009643554
5.15450096130377,-75.8355026245116
5.1601991653443,-75.8221969604492
5.16880083084112,-75.8031997680664
5.17220115661621,-75.7985992431641
5.17850112915045,-75.7772979736328
5.17439985275269,-75.7668991088867
5.16339921951294,-75.7629013061523
5.14489889144897,-75.7479019165039
5.13380002975475,-75.7358016967773
5.12920093536371,-75.731101989746
5.12280082702637,-75.7287979125977
5.11530017852783,-75.7316970825195
5.10550022125244,-75.7362976074218
5.09450101852428,-75.7340011596679
5.0876002311706,-75.7322998046874
5.07600116729731,-75.730499267578
5.06969881057745,-75.731101989746
5.06570196151739,-75.7369003295898
5.05130004882812,-75.7425994873046
5.04610109329235,-75.7500991821289
5.04320001602184,-75.7553024291992
5.03809881210339,-75.7674026489257
5.03410100936901,-75.773696899414
5.0324010848999,-75.7841033935547
5.03819894790649,-75.7846984863281
5.04160022735601,-75.7882003784179
5.05090093612682,-75.8037033081055
5.05279922485357,-75.8296966552734
5.05109882354742,-75.8395004272459
5.03840017318737,-75.8520965576171
5.02290010452271,-75.8659973144531
5.01429986953735,-75.8768997192383
5.0103001594544,-75.8850021362305
5.00449991226202,-75.8925018310546
5.00170087814337,-75.8982009887695
5.01719903945929,-75.8947982788084
5.02299976348877,-75.8947982788084
5.0380010604859,-75.8901977539061
5.05130004882812,-75.8889999389647
5.05820083618175,-75.8861999511718
5.06170177459717,-75.8843994140624
5.06860113143927,-75.8843994140624
5.07379913330078,-75.8884963989257
5.08019876480103,-75.8930969238281
5.10910081863409,-75.8897018432617
5.1124992370606,-75.8855972290039
5.11600017547602,-75.883903503418
5.12580013275158,-75.8815994262695
5.1343989372254,-75.8809967041016