"#81F7BE",*
"#81F7BE",*
"Supia",23
5.50400018692028,-75.712303161621
5.50509881973272,-75.7095031738281
5.50799989700323,-75.7060012817383
5.51080083847046,-75.6939010620117
5.51249885559093,-75.6800994873047
5.51480102539062,-75.6703033447265
5.50030088424683,-75.6690979003906
5.4893999099732,-75.6697006225585
5.48010110855097,-75.6685028076171
5.47669982910162,-75.6673965454102
5.47259998321533,-75.6604003906249
5.4662008285523,-75.6529006958008
5.45750093460094,-75.6454010009765
5.44879913330078,-75.6408004760742
5.44130086898804,-75.6344985961914
5.436598777771,-75.6315994262695
5.43320083618175,-75.6258010864258
5.43720102310181,-75.6218032836914
5.42849922180181,-75.6212005615234
5.42040109634394,-75.6223983764648
5.41520023345959,-75.6223983764648
5.40599918365484,-75.6240997314453
5.38990020751959,-75.6309967041015
5.38240098953253,-75.6343994140625
5.36850118637091,-75.6408004760742
5.36219882965082,-75.6436996459959
5.36159992218023,-75.6535034179686
5.36520099639893,-75.6643981933593
5.37160015106201,-75.6782989501953
5.38079881668091,-75.6828994750976
5.38600015640264,-75.6839981079102
5.39879989624029,-75.6932983398436
5.40810108184814,-75.7134017944334
5.42250013351452,-75.7128982543945
5.42889976501465,-75.7110977172852
5.4369997978211,-75.7110977172852
5.457200050354,-75.715202331543
5.47629880905157,-75.714599609375
5.49239921569819,-75.7111968994141
5.50400018692028,-75.712303161621