"#393B0B",*
"#393B0B",*
"Viterbo",21
5.12355518341064,-75.9362869262695
5.12480020523071,-75.9317016601561
5.12480020523071,-75.9218978881834
5.12480020523071,-75.9185028076172
5.12070178985601,-75.9126968383789
5.1079998016358,-75.9029006958007
5.10910081863409,-75.8897018432617
5.08019876480103,-75.8930969238281
5.07379913330078,-75.8884963989257
5.06860113143927,-75.8843994140624
5.06170177459717,-75.8843994140624
5.05820083618175,-75.8861999511718
5.05130004882812,-75.8889999389647
5.0380010604859,-75.8901977539061
5.02299976348877,-75.8947982788084
5.01719903945929,-75.8947982788084
5.00170087814337,-75.8982009887695
4.99360084533697,-75.8976974487305
4.98089981079107,-75.8953018188477
4.96469879150391,-75.8936004638672
4.95200014114386,-75.8929977416992
4.94444894790655,-75.9005508422852
4.94510078430176,-75.9068984985351
4.94859981536877,-75.9149017333984
4.9549989700318,-75.9213027954101
4.96480178833008,-75.922996520996
4.97810077667248,-75.9288024902344
4.9978017807008,-75.938003540039
5.00299978256226,-75.937400817871
5.01340007781982,-75.9397964477538
5.02089786529547,-75.9421005249023
5.03249883651739,-75.9496002197266
5.03385496139538,-75.9538955688477
5.04640007019054,-75.9548034667968
5.05620002746588,-75.9535980224609
5.07520103454601,-75.9524993896484
5.08390092849737,-75.9502029418945
5.08740091323853,-75.9502029418945
5.11280012130737,-75.9531021118164
5.12260007858271,-75.9397964477538
5.12355518341064,-75.9362869262695